url,label,lang
https://en.wikipedia.org/wiki/Typhoon_Flo_(1990),good,en
https://en.wikipedia.org/wiki/Szczakowa,good,en
https://en.wikipedia.org/wiki/Avlakia%2C_Othonoi,good,en
https://en.wikipedia.org/wiki/Dialog_im_Kamptal,good,en
https://en.wikipedia.org/wiki/2016%E2%80%9317_Radford_Highlanders_men's_basketball_team,good,en
https://en.wikipedia.org/wiki/1987_DFB-Pokal_final,good,en
https://en.wikipedia.org/wiki/Pressiat,good,en
https://en.wikipedia.org/wiki/Konstantin_Olshansky,good,en
https://en.wikipedia.org/wiki/Pope_Benedict_VII,good,en
https://en.wikipedia.org/wiki/College_rowing_in_the_United_States,good,en
https://en.wikipedia.org/wiki/Istanbul_International_Community_School,good,en
https://en.wikipedia.org/wiki/Left_Lane_Capital,good,en
https://en.wikipedia.org/wiki/Hadrianus_(turtle),good,en
https://en.wikipedia.org/wiki/Italian_cruiser_San_Giorgio,good,en
https://en.wikipedia.org/wiki/2009_Troy_Trojans_football_team,good,en
https://en.wikipedia.org/wiki/1995_Manila_local_elections,good,en
https://en.wikipedia.org/wiki/Miguel_%C3%81ngel_Pinto,good,en
https://en.wikipedia.org/wiki/Kirklandet,good,en
https://en.wikipedia.org/wiki/1966_Langhorne_100,good,en
https://en.wikipedia.org/wiki/The_Pleasure_and_the_Greed,good,en
https://en.wikipedia.org/wiki/Heliamphora_parva,good,en
https://en.wikipedia.org/wiki/Good_Morning%2C_Midnight_(Rhys_novel),good,en
https://en.wikipedia.org/wiki/Karoline_Simpson-Larsen,good,en
https://en.wikipedia.org/wiki/Goodspeed_Publishing,good,en
https://en.wikipedia.org/wiki/Noisettes,good,en
https://en.wikipedia.org/wiki/Paul_Gregory_(baseball),good,en
https://en.wikipedia.org/wiki/Krohnvikens_Bataljon,good,en
https://en.wikipedia.org/wiki/Liam_van_Gelderen,good,en
https://en.wikipedia.org/wiki/R346_road_(Ireland),good,en
https://en.wikipedia.org/wiki/Group_of_Nine,good,en
https://en.wikipedia.org/wiki/Unsorted,good,en
https://en.wikipedia.org/wiki/Herbert_Leavey,good,en
https://en.wikipedia.org/wiki/Oderaue,good,en
https://en.wikipedia.org/wiki/Ashwaq_Moharram,good,en
https://en.wikipedia.org/wiki/2000_Chilean_telethon,good,en
https://en.wikipedia.org/wiki/Belchin,good,en
https://en.wikipedia.org/wiki/Matia_Banu_Shuku,good,en
https://en.wikipedia.org/wiki/Skeena_Mountains,good,en
https://en.wikipedia.org/wiki/Spearman%2C_Texas,good,en
